County,CountyID,stateName,state,countyFIPS5,ext_region_new
Adair,01,Iowa,IA,19001,21
Adams,02,Iowa,IA,19003,23
Allamakee,03,Iowa,IA,19005,5
Appanoose,04,Iowa,IA,19007,25
Audubon,05,Iowa,IA,19009,13
Benton,06,Iowa,IA,19011,11
Black Hawk,07,Iowa,IA,19013,10
Boone,08,Iowa,IA,19015,14
Bremer,09,Iowa,IA,19017,10
Buchanan,10,Iowa,IA,19019,10
Buena Vista,11,Iowa,IA,19021,7
Butler,12,Iowa,IA,19023,10
Calhoun,13,Iowa,IA,19025,7
Carroll,14,Iowa,IA,19027,14
Cass,15,Iowa,IA,19029,21
Cedar,16,Iowa,IA,19031,11
Cerro Gordo,17,Iowa,IA,19033,4
Cherokee,18,Iowa,IA,19035,7
Chickasaw,19,Iowa,IA,19037,5
Clarke,20,Iowa,IA,19039,24
Clay,21,Iowa,IA,19041,2
Clayton,22,Iowa,IA,19043,12
Clinton,23,Iowa,IA,19045,20
Crawford,24,Iowa,IA,19047,13
Dallas,25,Iowa,IA,19049,15
Davis,26,Iowa,IA,19051,26
Decatur,27,Iowa,IA,19053,24
Delaware,28,Iowa,IA,19055,12
Des Moines,29,Iowa,IA,19057,27
Dickinson,30,Iowa,IA,19059,2
Dubuque,31,Iowa,IA,19061,12
Emmet,32,Iowa,IA,19063,2
Fayette,33,Iowa,IA,19065,10
Floyd,34,Iowa,IA,19067,4
Franklin,35,Iowa,IA,19069,4
Fremont,36,Iowa,IA,19071,22
Greene,37,Iowa,IA,19073,14
Grundy,38,Iowa,IA,19075,9
Guthrie,39,Iowa,IA,19077,14
Hamilton,40,Iowa,IA,19079,8
Hancock,41,Iowa,IA,19081,3
Hardin,42,Iowa,IA,19083,9
Harrison,43,Iowa,IA,19085,13
Henry,44,Iowa,IA,19087,27
Howard,45,Iowa,IA,19089,5
Humboldt,46,Iowa,IA,19091,8
Ida,47,Iowa,IA,19093,7
Iowa,48,Iowa,IA,19095,19
Jackson,49,Iowa,IA,19097,12
Jasper,50,Iowa,IA,19099,18
Jefferson,51,Iowa,IA,19101,26
Johnson,52,Iowa,IA,19103,19
Jones,53,Iowa,IA,19105,11
Keokuk,54,Iowa,IA,19107,19
Kossuth,55,Iowa,IA,19109,3
Lee,56,Iowa,IA,19111,27
Linn,57,Iowa,IA,19113,11
Louisa,58,Iowa,IA,19115,27
Lucas,59,Iowa,IA,19117,25
Lyon,60,Iowa,IA,19119,1
Madison,61,Iowa,IA,19121,24
Mahaska,62,Iowa,IA,19123,18
Marion,63,Iowa,IA,19125,18
Marshall,64,Iowa,IA,19127,9
Mills,65,Iowa,IA,19129,22
Mitchell,66,Iowa,IA,19131,4
Monona,67,Iowa,IA,19133,6
Monroe,68,Iowa,IA,19135,25
Montgomery,69,Iowa,IA,19137,22
Muscatine,70,Iowa,IA,19139,20
O'Brien,71,Iowa,IA,19141,1
Osceola,72,Iowa,IA,19143,1
Page,73,Iowa,IA,19145,22
Palo Alto,74,Iowa,IA,19147,2
Plymouth,75,Iowa,IA,19149,6
Pocahontas,76,Iowa,IA,19151,8
Polk,77,Iowa,IA,19153,16
Pottawattamie,78,Iowa,IA,19155,21
Poweshiek,79,Iowa,IA,19157,18
Ringgold,80,Iowa,IA,19159,23
Sac,81,Iowa,IA,19161,7
Scott,82,Iowa,IA,19163,20
Shelby,83,Iowa,IA,19165,13
Sioux,84,Iowa,IA,19167,1
Story,85,Iowa,IA,19169,17
Tama,86,Iowa,IA,19171,9
Taylor,87,Iowa,IA,19173,23
Union,88,Iowa,IA,19175,23
Van Buren,89,Iowa,IA,19177,26
Wapello,90,Iowa,IA,19179,26
Warren,91,Iowa,IA,19181,24
Washington,92,Iowa,IA,19183,19
Wayne,93,Iowa,IA,19185,25
Webster,94,Iowa,IA,19187,8
Winnebago,95,Iowa,IA,19189,3
Winneshiek,96,Iowa,IA,19191,5
Woodbury,97,Iowa,IA,19193,6
Worth,98,Iowa,IA,19195,4
Wright,99,Iowa,IA,19197,3
